Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
     204456 |                      Gutemberg Reis |                 190 |                     2 |          0.50
     160674 |                          Hugo Motta |                 359 |                     2 |          0.50
     160548 |                     Jonas Donizette |                 477 |                     2 |          0.50
     205550 |                          Jorge Braz |                 144 |                     2 |          0.50
     214694 |                       Jorge Goetten |                 388 |                     2 |          0.50
      74253 |                         Julio Lopes |                 578 |                     2 |          0.50
     222429 |                   Luis Carlos Gomes |                 118 |                     2 |          0.50
     160510 |                           Luis Tibé |                  82 |                     2 |          0.50
     204410 |                      Luisa Canziani |                 440 |                     2 |          0.50
      74041 |                          Luiz Couto |                 469 |                     2 |          0.50
     139285 |                      Lídice da Mata |                 724 |                     2 |          0.50
     220599 |                    Marcelo Crivella |                 399 |                     2 |          0.50
     219585 |                        Marco Brasil |                 107 |                     2 |          0.50
     188097 |                      Merlong Solano |                 195 |                     2 |          0.50
     154178 |                       Milton Vieira |                  86 |                     2 |          0.50
     150418 |                      Márcio Marinho |                 561 |                     2 |          0.50
     178986 |                         Nilto Tatto |                 990 |                     2 |          0.50
     160556 |                          Padre João |                 724 |                     2 |          0.50
     220667 |                        Pedro Campos |                 287 |                     2 |          0.50
      89536 |                Prof. Paulo Fernando |                 504 |                     2 |          0.50
     220580 |                   Professora Goreth |                 363 |                     2 |          0.50
     220532 |                     Rafael Prudente |                 157 |                     2 |          0.50
     220606 |                             Reimont |                 362 |                     2 |          0.50
     178933 |                        Sergio Souza |                 130 |                     2 |          0.50
     178947 |                 Sóstenes Cavalcante |                1332 |                     2 |          0.50
     204534 |                       Tabata Amaral |                 393 |                     2 |          0.50
     137070 |                   Vicentinho Júnior |                 386 |                     2 |          0.50
      74044 |                     Wilson Santiago |                 454 |                     2 |          0.50
     220552 |                               Zucco |                 505 |                     2 |          0.50
     220536 |                Zé Haroldo Cathedral |                 234 |                     2 |          0.50
     220593 |                      Abilio Brunini |                 480 |                     1 |          0.25
     204379 |                      Acácio Favacho |                 259 |                     1 |          0.25
     221328 |                     Adilson Barroso |                 180 |                     1 |          0.25
     204560 |                        Adolfo Viana |                 339 |                     1 |          0.25
     204528 |                     Adriana Ventura |                1360 |                     1 |          0.25
      74696 |                      Alberto Mourão |                  91 |                     1 |          0.25
     220538 |                         Albuquerque |                 524 |                     1 |          0.25
     160559 |                       Alceu Moreira |                 314 |                     1 |          0.25
     204501 |                     Alencar Santana |                 635 |                     1 |          0.25
     204571 |                        Alex Santana |                  98 |                     1 |          0.25
     221148 |                          Alfredinho |                 316 |                     1 |          0.25
     220576 |                      Alfredo Gaspar |                 427 |                     1 |          0.25
     178937 |                      Altineu Côrtes |                3060 |                     1 |          0.25
     220715 |                         Amom Mandel |                1060 |                     1 |          0.25
     220596 |                       Amália Barros |                 289 |                     1 |          0.25
     107970 |                      Ana Paula Leão |                 253 |                     1 |          0.25
     220657 |                     André Fernandes |                 272 |                     1 |          0.25
     220544 |                     Antonio Andrade |                 108 |                     1 |          0.25
     160553 |                       Antonio Brito |                 534 |                     1 |          0.25
     220638 |            Antonio Carlos Rodrigues |                 202 |                     1 |          0.25
     123756 |                       Antônia Lúcia |                 282 |                     1 |          0.25
     220675 |                       Antônio Doido |                  74 |                     1 |          0.25
      73433 |                   Arlindo Chinaglia |                 309 |                     1 |          0.25
     220577 |                      Augusto Puppio |                 211 |                     1 |          0.25
     178975 |                        Baleia Rossi |                  62 |                     1 |          0.25
     220698 |                          Beto Preto |                  95 |                     1 |          0.25
     204374 |                           Bia Kicis |                 693 |                     1 |          0.25
     204388 |                          Bibo Nunes |                 425 |                     1 |          0.25
     160538 |                           Bohn Gass |                 206 |                     1 |          0.25
     220574 |                 Cabo Gilberto Silva |                 741 |                     1 |          0.25
     178829 |                     Capitão Augusto |                 395 |                     1 |          0.25
     204361 |                     Carlos Chiodini |                 343 |                     1 |          0.25
     178962 |                        Carlos Gomes |                 243 |                     1 |          0.25
     204460 |                        Carlos Jordy |                 277 |                     1 |          0.25
     220704 |                       Carol Dartora |                 377 |                     1 |          0.25
     204369 |                    Caroline de Toni |                 371 |                     1 |          0.25
     220699 |                         Castro Neto |                  84 |                     1 |          0.25
      73441 |                    Celso Russomanno |                 468 |                     1 |          0.25
     204496 |                        Celso Sabino |                 210 |                     1 |          0.25
     205476 |                   Charles Fernandes |                  99 |                     1 |          0.25
      74171 |                       Chico Alencar |                 706 |                     1 |          0.25
     204476 |                    Chiquinho Brazão |                 272 |                     1 |          0.25
      74537 |                      Claudio Cajado |                 151 |                     1 |          0.25
     141408 |                        Cleber Verde |                 456 |                     1 |          0.25
      88256 |                 Clodoaldo Magalhães |                 201 |                     1 |          0.25
      98148 |                          Cobalchini |                 369 |                     1 |          0.25
     222142 |                     Coronel Telhada |                 331 |                     1 |          0.25
     220590 |                     Coronel Ulysses |                 371 |                     1 |          0.25
     178876 |                      Célio Silveira |                 330 |                     1 |          0.25
     204355 |                          Da Vitoria |                 229 |                     1 |          0.25
     141411 |                  Dagoberto Nogueira |                 161 |                     1 |          0.25
      74467 |                    Damião Feliciano |                  70 |                     1 |          0.25
     220629 |                             Dandara |                 234 |                     1 |          0.25
     220603 |                          Dani Cunha |                 168 |                     1 |          0.25
     220557 |                     Daniela Reinehr |                 311 |                     1 |          0.25
     220659 |                  Dayany Bittencourt |                 469 |                     1 |          0.25
